0,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,desc,city_country,latitude,longitude,lat,lon
85,1994,Confirmed,Mohammed Salahuddin,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Takbeer,Editor,Politics,Print,Pakistan,Karachi,,,Karachi,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Salahuddin, editor of Urdu-language weekly Takbeer, was fatally shot by two unidentified gunmen on a motorcycle. The assailants ambushed him outside the paper’s offices. In his editorials, he was very critical of the Mohajir Quami Movement, a Karachi-based party supported by many Muslim migrants from India.","Karachi, Pakistan",24.8546842,67.0207055,24.8546842,67.0207055
86,2001,Confirmed,Moolchand Yadav,,India,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/moolchand_yadav_india_2001.jpg,,Journalist,,Murder,Killed,Freelance,Freelance,Print Reporter,"Business,Corruption",Print,India,Jhansi,,,Jhansi,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Yadav, a freelance reporter who regularly contributed to Hindi-language dailies, including Jansatta and Punjab Kesari,was shot dead on the street in Jhansi, Uttar Pradesh. Colleagues saidthat Yadav had been murdered at the behest of two powerful landownersangered by his exposés about local corruption.","Jhansi, India",25.53103115,78.65268902,25.53103115,78.65268902
87,2007,Confirmed,Muhammad Arif,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,ARY Television,Camera Operator,Politics,Television,Pakistan,Karachi,,,Karachi,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Arif was among more than 130 people killed in a bombingduring a rally held to celebrate the homecoming of former Prime MinisterBenazir Bhutto. The cameraman, who was on assignment, was survived by his wifeand six children. Bhutto was assassinated two months later at a rally inRawalpindi.","Karachi, Pakistan",24.8546842,67.0207055,24.8546842,67.0207055
88,2012,Confirmed,Mukarram Khan Aatif,,Pakistan,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Aatif.jpg,AP,Journalist,,Murder,Killed,Freelance,Freelance,Broadcast Reporter,"Politics,War","Radio,Television",Pakistan,Shabqadar,,,Shabqadar,,Local,"Military Officials, Political Group",Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Two gunmen killed Aatif, a reporter for the Pashto-languageservice of the U.S. government-funded Voice of America, at a mosque inShabqadar, north of Peshawar. The assailants, who struck during eveningprayers, shot Aatif multiple times before fleeing on motorcycles, police toldreporters. Aatif died of his injuries at Lady Reading Hospital in Peshawar. Animam was injured in the attack.","Shabqadar, Pakistan",34.2146534,71.5559253,34.2146534,71.5559253
89,2006,Confirmed,Munir Ahmed Sangi,,Pakistan,,,Male,,,Journalist,,Crossfire,Killed,Staff,Kawish Television Network,Camera Operator,Human Rights,Television,Pakistan,Larkana,,,Larkana,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Sangi, a cameraman for the Sindhi-language channel, was shotwhile covering a gunfight between members of the Unar and Abro tribes in the townof Larkana, in southeast Pakistan’s Sindh district, according to local mediareports. At least one other person was killed in the clash, which Sangirecorded before he died. The station broadcast his video.","Larkana, Pakistan",27.5564798,68.2101509,27.5564798,68.2101509
90,2009,Confirmed,Musa Khankhel,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Geo TV and The News,"Broadcast Reporter,Print Reporter","Politics,War","Print,Television",Pakistan,Swat,,,Swat,,Local,Military Officials,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,,"No one claimed responsibility for the killing of Khankhel,who died in the first violation of a truce called two days earlier between thegovernment and local militant groups, according to local and international newsreports. Khankhel was targeted while covering a peace march led by Muslimcleric Sufi Muhammad, father-in-law of local Taliban leader Maulana Fazlullah,the reports said. Muhammad was seeking to recruit his son-in-law to join acease-fire agreement he had negotiated with the government. Geo Managing Director Azhar Abbas told CPJ that Khankhel hadbecome separated from the rest of his four-person reporting team in amilitant-controlled area near the town of Matta. He suffered multiple gunshotwounds to the torso and back of the head, Abbas said. A BBC report citingKhankhel’s brother said the journalist had been abducted at gunpoint from thepeace march, and that his hands and feet were bound when his body wasdiscovered.","Swat, Pakistan",34.31922775,71.59029391,34.31922775,71.59029391
91,1995,Confirmed,Mushtaq Ali,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Agence France-Presse and Asian News International,"Camera Operator,Photographer",,Print,India,Srinagar,,,Srinagar,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Ali, a photographer for Agence France-Presse and a camera operator for Asian News International, was killed when a letter bomb addressed to Yusuf Jameel, Srinagar correspondent for the BBC and Reuters, exploded in his hands on September 7. Ali opened the package, which had been delivered to Jameel’s office by an unidentified woman wearing a black burqa, while Jameel was on the phone. The explosion severed Ali’s left hand, disfigured his face, and severely injured his right hand and abdomen. He died three days later.","Srinagar, India",34.0747444,74.8204443,34.0747444,74.8204443
92,2012,Confirmed,Mushtaq Khand,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Dharti Television Network and Mehran,"Broadcast Reporter,Print Reporter","Crime,Politics,War","Print,Television",Pakistan,Khairpur,,,Khairpur,,Local,,Confirmed,,,,,,,,,,,,,,,,"Khand, 35, was among six people killed when gunmen openedfire on a Pakistan People’s Party (PPP) rally in Khairpur in Sindh province. A10-year veteran journalist, Khand was a reporter for Dharti Television Networkand had been the president of the Khairpur Press Club for five years. He hadalso worked for the Sindhi newspaper Mehran in Hyderabad.","Khairpur, Pakistan",27.5151658,68.0535054,27.5151658,68.0535054
93,2014,Confirmed,MVN Shankar,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Andhra Prabha,Print Reporter,Corruption,Print,India,Andhra Pradesh,,,Andhra Pradesh,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Shankar died at a local hospital a day after being beaten by unidentified assailants with iron rods, according to news reports. The journalist was returning home after filing a report in Chilakaluripet town in Guntur district in the southern state of Andhra Pradesh.","Andhra Pradesh, India",15.9240905,80.1863809,15.9240905,80.1863809
94,2000,Confirmed,Mylvaganam Nimalarajan,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,"BBC, Virakesari, Ravaya","Broadcast Reporter,Print Reporter",Corruption,"Print,Radio",Sri Lanka,Jaffna,,,Jaffna,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"On the night of October 19, a group of unidentified gunmen approached the home of Nimalarajan, a Jaffna-based journalist who reported for various news organizations, including the BBC’s Tamil and Sinhala-language services, the Tamil-language daily Virakesari, and the Sinhala-language weekly Ravaya.","Jaffna, Sri Lanka",9.665093,80.0093029,9.665093,80.0093029
95,2001,Confirmed,Nahar Ali,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Anirban,Print Reporter,"Business,Corruption,Crime",Print,Bangladesh,Khulna,,,Khulna,,Local,Government Officials,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Ali, a correspondent for the Khulna-based, Bengali-language daily Anirban,died shortly before midnight on April 21, while undergoing treatment atKhulna Medical College Hospital for injuries sustained in an attackdays earlier. Late on the night of April 17, masked men kidnapped Alifrom his home in the village of Shovna, according to local pressreports. The assailants stabbed him, beat him severely, and broke hishands and legs before abandoning him on the outskirts of his village,according to police.","Khulna, Bangladesh",22.8083689,89.4426887,22.8083689,89.4426887
96,2013,Confirmed,Narendra Dabholkar,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Sadhana,Editor,"Culture,Politics",Print,India,Pune,,,Pune,,Local,,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Two unidentified gunmen on motorcycles shot Narendra Dabholkar in the city of Pune while he was taking an early-morning walk, according to local reports. The gunmen fled the scene. Dabholkar died from injuries sustained to his neck and back, police said.","Pune, India",18.521428,73.8544541,18.521428,73.8544541
97,2011,Confirmed,Nasrullah Khan Afridi,,Pakistan,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/may%25252018%252520nasrullah_afridi_credit%252520Khyber%252520Union%252520of%252520Journalists.jpg,(Khyber Union of Journalists),Journalist,,Murder,Killed,Freelance,Pakistan Television and Mashriq,"Broadcast Reporter,Print Reporter",,"Print,Television",Pakistan,Peshawar,,,Peshawar,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Afridi, a reporter for Pakistan Television and the localMashriq newspaper, was killed when his car blew up in the city of Peshawar,according to local and international news reports. An explosive device wasdetonated remotely shortly after he returned to the vehicle, which was parkedin a densely populated shopping area, news reports said.","Peshawar, Pakistan",34.0123846,71.5787458,34.0123846,71.5787458
98,2002,Confirmed,Nava Raj Sharma,,Nepal,,,Male,,,Journalist,,Murder,Killed,Staff,Kadam,Editor,"Culture,Human Rights,Politics,War",Print,Nepal,Kalikot,,,Kalikot,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Sharma, editor of the Nepali-language weekly Kadam, was kidnapped by Maoist rebels on June 1 and later killed, according to a team of journalists and human rights activists organized by the government’s National Human Rights Commission (NHRC). The NHRC visited Kalikot District, where Sharma lived, as part of an August mission to Nepal’s remote midwestern region. The group learned of his murder from local residents and police.","Kalikot, Nepal",29.2160406,81.68842,29.2160406,81.68842
99,2018,Confirmed,Navin Nischal,,India,,,Male,,,Journalist,Killed,Murder,Killed,Freelance,Dainik Bhaskar,Print Reporter,Politics,Print,India,Arrah,,Bihar,Arrah,Bhojpur,Local,"Government Officials,Criminal Group",Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Navin Nischal, a stringer for the Hindi-language daily, Dainik Bhaskar, was killed on the evening of March 25, 2018, after an SUV ran him over in the town of Arrah in India’s Bihar state. Nischal and freelance journalist Vijay Singh were riding Nischal’s motorbike on the Arrah-Sasaram highway when an SUV hit them from behind and ran them over, according to a report in the Indian Express newspaper and Rakesh Kumar Singh, Dainik Bhaskar’s bureau chief for the Bhojpur district including Arrah.","Arrah, India",25.62345725,84.59683869,25.62345725,84.59683869
100,2015,Confirmed,Niloy Neel,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Internet Reporter,"Culture,Human Rights,Politics",Internet,Bangladesh,Dhaka,,,Dhaka,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"At least four assailants entered the blogger’s home and hacked him to death with sharp weapons in the Goran neighborhood in the capital, Dhaka, according to news reports.","Dhaka, Bangladesh",23.7861979,90.4026151,23.7861979,90.4026151
101,2007,Confirmed,Noor Hakim Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Daily Pakistan,Print Reporter,"Politics,War",Print,Pakistan,Bajaur,,,Bajaur,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Khan, a correspondent for the Daily Pakistan and a vicepresident of the Tribal Union of Journalists, was one of five people killed bya roadside bomb in the Bajaur region of the North West Frontier Province, nowknown as Khyber Pakhtunkhwa. Behroz Khan, the Peshawar-based reporter for The News,confirmed news reports that the victim was returning from covering a jirga, ortribal council. He had been invited to witness the demolition of a housebelonging to the perpetrator of a February car bombing that had killed a localphysician. The demolition was part of the disposition of the tribal council case.","Bajaur, Pakistan",34.7763887,71.5144196,34.7763887,71.5144196
102,1997,Confirmed,P. Srinivas Rao,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Eenadu Television (E-TV),Camera Operator,"Business,Culture",Television,India,Hyderabad,,,Hyderabad,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Srinivas Rao and S. Krishna, assistant cameramen for E-TV; Jagadish Babu, a producer for private channel E-TV; Gangadhara Raju, an E-TVcameraman; andRaja Sekhar, an assistant for E-TV, were killed in a car bomb explosionwhile covering the making of a film. As they were leaving the RamaNaidu Studios in Hyderabad, their vehicle caught the brunt of themassive blast, which police said was caused by a remote control carbomb parked by the studio entrance. The television crew’s driver, P.","Hyderabad, India",17.360589,78.4740613,17.360589,78.4740613
103,1996,Confirmed,Parag Kumar Das,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Asomiya Pratidin,Editor,Human Rights,Print,India,Assam,,,Assam,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Das, editor-in-chief of the largest circulation daily in Assam, Asomiya Pratidin, was fatally shot in the state capital, Guwahati, as he was picking up his 7-year-old son from school. He was the leading journalistic voice for self-rule for Assam and had continued covering separatist perspectives despite arrests in 1992 and 1993. A monitor of human rights, he also published a newsletter that reported on army and counterinsurgency abuses against the Assamese. Colleagues believe his recent interview with the leader of the separatist United Liberation Front of Assam triggered his assassination by a splinter group.","Assam, India",26.4073841,93.2551303,26.4073841,93.2551303
104,2008,Confirmed,Paranirupasingham Devakumar,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,News 1st,Broadcast Reporter,"Politics,War",Television,Sri Lanka,Jaffna,,,Jaffna,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Devakumar, Jaffna correspondent for the independent channelNews 1st, was stabbed to death when he was attacked by supporters of theLiberation Tigers of Tamil Eelam (LTTE), according to Sunanda Deshapriya,spokesman for local press freedom group the Free Media Movement. Deshapriya said that FMM’s investigations had shown that Devakumar was killedby Tamil Tiger supporters in retribution for critical reporting on LTTE activitiesin the area. Deshapriya also noted the journalist had covered agovernment-sponsored rally that the LTTE had wanted him to avoid.","Jaffna, Sri Lanka",9.665093,80.0093029,9.665093,80.0093029
105,2003,Confirmed,Parvaz Mohammed Sultan,,India,,,Male,,,Journalist,,Murder,Killed,Staff,News and Feature Alliance,Editor,Politics,Print,India,Srinagar,,,Srinagar,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Sultan, editor of the independent newswire service News and FeatureAlliance (NAFA), which is based in Srinagar, the summer capital ofJammu and Kashmir State, was shot dead by an unidentified gunman.","Srinagar, India",34.0747444,74.8204443,34.0747444,74.8204443
106,2010,Confirmed,Pervez Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Waqt TV,"Broadcast Reporter,Camera Operator","Politics,War",Television,Pakistan,Ghalanai,,,Ghalanai,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Abdul Wahab, a reporter for Express News, and Pervez Khan, aWaqt TV journalist, were among 50 people killed in a double-suicide bomb attackin the Mohmand tribal district, according to international news reports. The journalists were covering a meeting of tribal leadersand government officials in Ghalanai, the administrative center of the region,when two suicide bombers wearing police uniforms detonated explosives. Newsreports said the meeting was called to discuss the formation of an anti-Talibanmilitia. Agence France-Presse said a Pakistani Taliban group took credit forthe attack, which injured more than 100 people.","Ghalanai, Pakistan",34.3230293,71.3996165,34.3230293,71.3996165
107,2000,Confirmed,Pradeep Bhatia,,India,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/pradeep_bhatia_india_2000.jpg,,Journalist,,Dangerous Assignment,Killed,Staff,The Hindustan Times,Photographer,War,Print,India,Srinagar,,,Srinagar,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Bhatia, a photographer for the Indian newspaper The Hindustan Times, was one of at least 12 people killed in a bomb attack in the Kashmir capital, Srinagar. Six other journalists died in the blast.","Srinagar, India",34.0747444,74.8204443,34.0747444,74.8204443
108,2006,Confirmed,Prahlad Goala,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Asomiya Khabar,Print Reporter,Corruption,Print,India,Golaghat,,,Golaghat,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,Goala was murdered near his home in Golaghat district in India’s northeastern state of Assam after writing a series of articles on corruption in the Assamese-language daily Asomiya Khabar that linked local forestry service officials to timber smuggling.,"Golaghat, India",26.40490095,94.03209112,26.40490095,94.03209112
109,2007,Confirmed,Prakash Singh Thakuri,,Nepal,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Print Reporter,Politics,Print,Nepal,Mahendranagar,,,Mahendranagar,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Armed men believed to be associated with Nepal’s Maoistparty abducted freelance reporter Thakuri from his home in Mahendranagar, a city in Kanchanpur district, at around10 a.m., on July 5, 2007. The journalist’s body was not recovered, but localpolice later classified the investigation as a murder case. Thakuri edited and published the royalist newspaper Aajako Samachar until the king wasforced to cede control of the government in April 2006 after weeks ofpro-democracy demonstrations. He was also a prominent member of the royalistNational Journalists Federation, local newspapers reported.","Mahendranagar, Nepal",26.8635752,85.9641053,26.8635752,85.9641053
110,2009,Confirmed,Puniyamoorthy Sathiyamoorthy,,Sri Lanka,,,Male,,,Journalist,,Dangerous Assignment,Killed,Freelance,freelance,Broadcast Reporter,"Politics,War","Radio,Television",Sri Lanka,Mullaitheevu district,,,Mullaitheevu district,,Local,Government Officials,Confirmed,,,,,,,,,,,,,,,,"Sathiyamoorthy, a supporter of the secessionist LiberationTigers of Tamil Eelam (LTTE), wrote for many pro-Tamil publications andfrequently contributed to official LTTE media. His live commentaries fromconflict zones were widely seen and heard on pro-Tamil television and radiobroadcasts. According to independent Tamil news sources as well as the LTTE, hewas killed in a Sri Lankan artillery barrage in the Mullaitheevu district.","Mullaitheevu district, Sri Lanka",7.2482364,81.8375386,7.2482364,81.8375386
111,2016,Confirmed,Rajdev Ranjan,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Hindustan,Print Reporter,"Corruption,Crime,Politics",Print,India,"Siwan, Bihar",,,"Siwan, Bihar",,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Unknown men shot Rajdev Ranjan, the Hindi national daily newspaper Hindustan‘s bureau chief for Siwan, in the central Indian state of Bihar, at close range as he was returning to his office, according to press reports. The journalist, also identified as Rajdeo Ranjan in press reports, was hit in the head and the chest, killing him, according to local media. Police said they were investigating the killing, and said Ranjan had no known personal enmity with anyone, according to reports. In June, police said they had arrested five suspects in the shooting, who named Laddan Mian as the man who hired them to commit the murder, reports said. Mian, whom news reports identified as having political connections, voluntarily appeared before a court on June 2, 2016, and denied involvement in the killing, news reports said. The journalist’s widow, Asha Devi, believes Ranjan was killed in retribution for his critical reporting on a lawmaker who is currently serving prison time for dozens of charges, including murder, illegal possession of firearms, and voter-intimidation, according to news reports. In March 2016, Ranjan had broken news about a prison meeting between the former lawmaker and another local official, who shared a “feast,” reports said. Local journalists said Ranjan had been receiving death threats from criminals before his death, news accounts said.","Siwan, Bihar, India",26.1310043,84.39125661,26.1310043,84.39125661
112,2012,Confirmed,Rajesh Mishra,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Media Raj,Print Reporter,Corruption,Print,India,Rewa,,,Rewa,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Two assailants hit Mishra on the head with an iron rod while he was at a public tea stall in Rewa town in the central state of Madhya Pradesh, according to local news reports. The journalist died at a local hospital, the reports said.","Rewa, India",24.75926685,81.65500021,24.75926685,81.65500021
113,2017,Confirmed,Rajesh Mishra,,India,,,Male,,,Journalist,Killed,Murder,Killed,Freelance,Dainik Jagran,Print Reporter,"Corruption,Crime",Print,India,"Brahmanpur Chatti, Ghazipur district",,Uttar Pradesh,"Brahmanpur Chatti, Ghazipur district",,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Two assailants hit Mishra on the head with an iron rod while he was at a public tea stall in Rewa town in the central state of Madhya Pradesh, according to local news reports. The journalist died at a local hospital, the reports said.","Brahmanpur Chatti, Ghazipur district, India",25.6746797,83.0027002,25.6746797,83.0027002
114,2013,Confirmed,Rajesh Verma,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,IBN 7,"Broadcast Reporter,Camera Operator","Crime,Politics",Television,India,"Muzaffarnagar, Uttar Pradesh",,,"Muzaffarnagar, Uttar Pradesh",,Local,,Confirmed,,,,,,,,,,,,,,,,"Unidentified assailants fatally shot Rajesh Verma, a part-time stringer for the TV news channel IBN 7, in the chest while he was covering confrontations between Hindus and Muslims in the small city of Muzaffarnagar, according to Ajesh Mohan, senior assistant editor at IBN 7, and local news reports.","Muzaffarnagar, Uttar Pradesh, India",29.44800635,77.74068503,29.44800635,77.74068503
115,2013,Confirmed,Rakesh Sharma,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Aaj,Print Reporter,"Corruption,Crime,Politics",Print,India,"Etawah, Uttar Pradesh",,,"Etawah, Uttar Pradesh",,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Sharma, 50, was shot by unidentified assailants on a motorcycle in the Bakewar town of the Etawah district in the northern state of Uttar Pradesh, according to news reports citing police. Sharma had left his home after receiving a call from an unknown number, his family told reporters.","Etawah, Uttar Pradesh, India",26.71832435,79.09025375,26.71832435,79.09025375
116,2020,Confirmed,Rakesh Singh,,India,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Rashtriya Swaroop,Print Reporter,"Corruption,Crime,Politics",Print,India,"Balrampur, Uttar Pradesh",,Uttar Pradesh,"Balrampur, Uttar Pradesh",,Local,Criminal Group,Confirmed,,,Complete Impunity,Yes,No,Yes,,,,,,,,,,"Rakesh Singh, a journalist with local Hindi newspaper Rashtriya Swaroop, died from burn injuries on November 28, 2020, after his house was set on fire in the Balrampur district of the northern Indian state of Uttar Pradesh the previous day, according to news reports. On November 30, Uttar Pradesh police identified and arrested three suspects in connection to the alleged arson, one of them the son of a local village head, but had not filed charges in the case as of early December, reports said.","Balrampur, Uttar Pradesh, India",27.4504805,82.39541774,27.4504805,82.39541774
117,2002,Confirmed,Ram Chander Chaterpatti,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Poora Sach,Editor,Crime,Print,India,Sirsa,,,Sirsa,,Local,Political Group,Confirmed,,,Full Justice,No,No,No,,,,,,,,,,"Chaterpatti, editor of the Hindi-language newspaper Poora Sach, died in a New Delhi hospital of injuries sustained in an assassination attempt made a month earlier.","Sirsa, India",29.583333,75.083333,29.583333,75.083333
118,1992,Confirmed,Ram Singh Biling,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Freelance,"Azdi Awaz, Daily Ajit",Print Reporter,"Corruption,Human Rights,Politics",Print,India,Jalandhar,,,Jalandhar,,Local,Government Officials,Confirmed,,,,,,,,,,,,,,,,"Biling, the Amargarh-based correspondent for two Punjab newspapers, Azdi Awaz and Daily Ajit, was picked up by police while traveling by bus to the town of Jalandhar. Although officials denied the arrest, Biling, who is also a human rights activist, was reportedly seen in custody by village elders. Police did not acknowledgehis detention, but it is believed that he died in custody.","Jalandhar, India",31.29201065,75.56805772,31.29201065,75.56805772
119,2008,Confirmed,Rashmi Mohamed,,Sri Lanka,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Sirasa TV,Broadcast Reporter,"Politics,War",Television,Sri Lanka,Anuradhapura,,,Anuradhapura,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Mohamed, a provincial correspondent for Sirasa TV, wascovering the opening ceremony of the new office of the United National Party(UNP) in Anuradhapurawhen a suicide bomber detonated an explosive device. The blast apparently came from a member of the LiberationTigers of Tamil Eelam (LTTE) inside the newly opened and crowded office of theopposition UNP. The target appeared to be retired Maj. Gen. Janaka Perera, whodied in the blast. At least 27 people died, and at least 80 more were wounded inthe explosion.","Anuradhapura, Sri Lanka",8.334985,80.4106096,8.334985,80.4106096
120,2012,Confirmed,Razzaq Gul,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Express News TV,Broadcast Reporter,"Politics,War",Television,Pakistan,Turbat,,,Turbat,,Local,,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,,"Gul, 35, a senior reporter with Express News TV in Turbat, acity in the Kech district of Baluchistan, was abducted near his home on theevening of May 18, according to news reports. His body was found the next daywith several bullet wounds and marks that indicated he had been tortured, hisfamily told local journalists. Gul was a member of the Baluch National Movement, anationalist political organization, and was the secretary of the Press Club ofTurbat, according to news reports. His colleagues at the club told Express NewsTV that Gul had not mentioned receiving any threats. No group claimedresponsibility for his death.","Turbat, Pakistan",26.0027894,63.0505609,26.0027894,63.0505609
121,2012,Confirmed,Rehmatullah Abid,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,"Dunya News TV, Intikhaab","Broadcast Reporter,Camera Operator,Print Reporter","Business,Corruption,Crime,Human Rights,Politics,War","Print,Television",Pakistan,"Panjgur, Baluchistan",,,"Panjgur, Baluchistan",,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Unidentified gunmen on a motorcycle killed Abid in a barbershop in Panjgur district, about 375 miles (600 kilometers) from Quetta. Abidhad worked as a general assignment reporter for the Urdu-language Dunya News, anews and current affairs TV channel, for several years and had also worked forthe Urdu-language daily Intikhaab.","Panjgur, Baluchistan, Pakistan",26.9616074,64.1153339,26.9616074,64.1153339
122,2005,Confirmed,Relangi Selvarajah,,Sri Lanka,,,Female,,,Journalist,,Murder,Killed,Staff,Sri Lanka Rupavahini Corp.,Columnist/Commentator,"Human Rights,Politics",Radio,Sri Lanka,Colombo,,,Colombo,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Popular Tamil broadcaster Relangi Selvarajah and her husband, apolitical activist, were killed by unidentified gunmen in Colombo onthe same day that Lakshman Kadirgamar, Sri Lanka’s foreign minister,was assassinated. Political leaders blamed the rebel Liberation Tigersof Tamil Eelam (LTTE) for all three killings, charges the LTTE denied.","Colombo, Sri Lanka",6.9387469,79.8541134,6.9387469,79.8541134
123,1997,Confirmed,S. Gangadhara Raju,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Eenadu Television (E-TV),Camera Operator,"Business,Culture",Television,India,Hyderabad,,,Hyderabad,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Gangadhara Raju, an E-TVcameraman; Jagadish Babu, a producer for private channel E-TV; Srinivas Rao and S. Krishna, assistant cameramen for E-TV; andRaja Sekhar, an assistant for E-TV, were killed in a car bomb explosionwhile covering the making of a film. As they were leaving the RamaNaidu Studios in Hyderabad, their vehicle caught the brunt of themassive blast, which police said was caused by a remote control carbomb parked by the studio entrance. The television crew’s driver, P.","Hyderabad, India",17.360589,78.4740613,17.360589,78.4740613
124,1997,Confirmed,S. Krishna,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Eenadu Television (E-TV),Camera Operator,"Business,Culture",Television,India,Hyderabad,,,Hyderabad,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Krishna and Srinivas Rao, assistant cameramen for E-TV; Jagadish Babu, a producer for private channel E-TV; Gangadhara Raju, an E-TVcameraman; andRaja Sekhar, an assistant for E-TV, were killed in a car bomb explosionwhile covering the making of a film. As they were leaving the RamaNaidu Studios in Hyderabad, their vehicle caught the brunt of themassive blast, which police said was caused by a remote control carbomb parked by the studio entrance. The television crew’s driver, P.","Hyderabad, India",17.360589,78.4740613,17.360589,78.4740613
125,2014,Confirmed,Sadrul Alam Nipul,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Dainik Mathabhanga,Print Reporter,Crime,Print,Bangladesh,Chuadanga,,,Chuadanga,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Nipul’s dismembered body was found at a railway station in the southwestern district of Chuadanga, which borders India, according to news reports. His family told journalists he had left his house the night before after receiving a phone call and did not return home.","Chuadanga, Bangladesh",23.6436608,88.846448,23.6436608,88.846448
